CountyName,MembershipPrice,CountyPopulation,LAFitnessLocations,CompetitorLocations,MedianHouseholdIncome,PopulationDensity,AvgGymRating
Alachua County,69.0,278468,0,5,53314,318.018,4.28
Baker County,43.99,28259,0,0,63860,48.287,4.4
Bay County,69.0,175216,0,4,60473,230.96,4.35
Bradford County,43.99,28303,0,0,48803,96.28,4.4
Brevard County,46.83,606612,2,11,63632,597.664,4.415
Broward County,40.93,1944375,13,45,64522,1616.633,4.318
Calhoun County,43.99,13648,0,0,38098,24.056,4.4
Charlotte County,14.08,186847,0,3,57887,274.324,4.433
Citrus County,43.99,153843,0,3,48664,264.372,4.4
Clay County,52.37,218245,1,4,74059,360.968,4.32
Collier County,61.5,375752,1,5,75543,188.163,3.95
Columbia County,43.99,69698,0,1,47750,87.39,4.4
DeSoto County,43.99,33976,0,1,39945,53.363,4.6
Dixie County,43.99,16759,0,0,44287,23.77,4.4
Duval County,57.91,995567,3,19,59541,1305.412,4.418
Escambia County,69.0,321905,1,4,56605,489.967,4.4
Flagler County,43.99,115378,0,2,62305,237.305,4.1
Franklin County,43.99,12451,0,0,52679,22.847,4.4
Gadsden County,43.99,43826,0,0,42661,84.872,4.4
Gilchrist County,43.99,17864,0,0,50983,51.085,4.4
Glades County,43.99,12126,0,0,38088,15.029,4.4
Gulf County,43.99,14192,0,0,53812,25.643,4.4
Hamilton County,43.99,14004,0,0,39346,27.23,4.4
Hardee County,43.99,25327,0,0,41395,39.724,4.4
Hendry County,43.99,39619,0,0,38843,34.274,4.4
Hernando County,43.99,194515,0,2,53301,411.266,4.3
Highlands County,43.99,101235,0,2,46895,99.478,4.35
Hillsborough County,60.29,1459762,7,18,64164,1428.494,4.356
Holmes County,43.99,19653,0,0,41809,41.041,4.4
Indian River County,69.0,159788,0,2,61594,317.79,4.55
Jackson County,43.99,47319,0,1,43416,51.535,4.5
Jefferson County,43.99,14510,0,0,53080,24.261,4.4
Lafayette County,43.99,8226,0,0,56458,15.14,4.4
Lake County,59.0,383956,0,5,60013,403.505,4.54
Lee County,65.0,760822,2,10,63235,974.153,4.308
Leon County,41.54,292198,0,9,57359,437.141,4.389
Levy County,43.99,42915,0,0,43029,38.378,4.4
Liberty County,43.99,7974,0,0,42438,9.543,4.4
Madison County,43.99,17968,0,1,39503,25.796,4.8
Manatee County,55.66,399710,2,4,64964,538.14,4.3
Marion County,69.0,375908,0,5,50808,236.655,4.5
Martin County,64.0,158431,1,3,69769,291.329,4.6
Miami-Dade County,42.89,2701767,16,43,57815,1422.054,4.275
Monroe County,43.99,82874,0,0,73153,84.304,4.4
Nassau County,69.0,90352,0,1,77504,139.286,4.8
Okaloosa County,69.0,211668,0,4,67390,227.553,4.3
Okeechobee County,43.99,39644,0,0,47020,51.542,4.4
Orange County,44.13,1429908,11,23,65784,1585.222,4.394
Osceola County,43.49,388656,2,3,58513,292.763,4.22
Palm Beach County,44.48,1492191,10,26,68874,759.656,4.328
Pasco County,79.0,561891,0,7,58084,752.581,4.557
Pinellas County,56.86,959107,7,13,60451,3504.163,4.38
Polk County,43.99,725046,1,7,55099,403.304,4.4
Putnam County,43.99,73321,0,1,39975,100.665,4.6
Santa Rosa County,43.99,188000,0,1,77260,185.697,4.5
Sarasota County,46.03,434006,1,8,69490,780.584,4.389
Seminole County,45.2,470856,4,12,73002,1521.939,4.4
St. Johns County,69.0,273425,0,4,88794,455.22,4.65
St. Lucie County,47.37,329226,1,5,59807,575.912,4.4
Sumter County,69.0,129752,0,1,63323,232.892,4.8
Suwannee County,43.99,43474,0,0,47218,63.135,4.4
Taylor County,43.99,21796,0,0,43563,20.891,4.4
Union County,43.99,16147,0,0,55463,66.297,4.4
Volusia County,54.17,553543,2,10,56786,502.621,4.375
Wakulla County,43.99,33764,1,0,72941,55.678,5.0
Walton County,43.99,75305,0,1,68111,72.528,4.1
Washington County,43.99,25318,0,0,41806,43.303,4.4
