CountyName,Latitude,Longitude
Alachua County,29.67574,-82.357221
Baker County,30.324442,-82.302284
Bay County,30.15914,-85.534395
Bradford County,29.952386,-82.166698
Brevard County,28.298311,-80.700333
Broward County,26.193535,-80.476683
Calhoun County,30.388801,-85.197915
Charlotte County,26.906396,-82.003657
Citrus County,28.850292,-82.595552
Clay County,29.986584,-81.865036
Collier County,26.118786,-81.400955
Columbia County,30.221651,-82.623371
DeSoto County,27.190581,-81.806253
Dixie County,29.552675,-83.236232
Duval County,30.335245,-81.648113
Escambia County,30.529998,-87.320322
Flagler County,29.474891,-81.286253
Franklin County,29.677794,-84.815213
Gadsden County,30.578687,-84.612607
Gilchrist County,29.723456,-82.795801
Glades County,26.95481,-81.19082
Gulf County,29.859238,-85.272013
Hamilton County,30.491187,-82.951071
Hardee County,27.492846,-81.82158
Hendry County,26.539967,-81.152114
Hernando County,28.555995,-82.525969
Highlands County,27.34108,-81.342353
Hillsborough County,27.88761,-82.374417
Holmes County,30.862007,-85.815939
Indian River County,27.700528,-80.574789
Jackson County,30.789249,-85.208814
Jefferson County,30.396898,-83.921761
Lafayette County,29.990066,-83.17851
Lake County,28.764113,-81.712282
Lee County,26.563273,-81.984182
Leon County,30.45931,-84.2778
Levy County,29.271854,-82.831233
Liberty County,30.259849,-84.86858
Madison County,30.447233,-83.470416
Manatee County,27.475556,-82.393144
Marion County,29.202805,-82.0431
Martin County,27.083604,-80.398201
Miami-Dade County,25.616009,-80.50375
Monroe County,25.58612,-81.022603
Nassau County,30.605963,-81.765087
Okaloosa County,30.614325,-86.59108
Okeechobee County,27.385592,-80.887388
Orange County,28.514391,-81.323284
Osceola County,28.059027,-81.139312
Palm Beach County,26.649126,-80.448354
Pasco County,28.309823,-82.511006
Pinellas County,27.905342,-82.798066
Polk County,27.953649,-81.693534
Putnam County,29.593896,-81.732039
St. Johns County,29.890487,-81.40004
St. Lucie County,27.379814,-80.443536
Santa Rosa County,30.675348,-87.018919
Sarasota County,27.225327,-82.423714
Seminole County,28.690065,-81.131975
Sumter County,28.715444,-82.069952
Suwannee County,30.189244,-82.992754
Taylor County,29.967146,-83.639573
Union County,30.05428,-82.366918
Volusia County,29.057769,-81.161792
Wakulla County,30.091335,-84.359111
Walton County,30.571247,-86.162798
Washington County,30.602102,-85.655805
