CountyName,CountyPopulation,MedianHouseholdIncome,LandAreaSqMiles,PopulationDensity
Alachua County,278468,53314,875.635,318.018
Baker County,28259,63860,585.23,48.287
Bay County,175216,60473,758.642,230.96
Bradford County,28303,48803,293.964,96.28
Brevard County,606612,63632,1014.971,597.664
Broward County,1944375,64522,1202.731,1616.633
Calhoun County,13648,38098,567.336,24.056
Charlotte County,186847,57887,681.119,274.324
Citrus County,153843,48664,581.918,264.372
Clay County,218245,74059,604.611,360.968
Collier County,375752,75543,1996.95,188.163
Columbia County,69698,47750,797.551,87.39
DeSoto County,33976,39945,636.695,53.363
Dixie County,16759,44287,705.034,23.77
Duval County,995567,59541,762.646,1305.412
Escambia County,321905,56605,656.993,489.967
Flagler County,115378,62305,486.201,237.305
Franklin County,12451,52679,544.983,22.847
Gadsden County,43826,42661,516.375,84.872
Gilchrist County,17864,50983,349.695,51.085
Glades County,12126,38088,806.822,15.029
Gulf County,14192,53812,553.453,25.643
Hamilton County,14004,39346,514.295,27.23
Hardee County,25327,41395,637.569,39.724
Hendry County,39619,38843,1155.95,34.274
Hernando County,194515,53301,472.966,411.266
Highlands County,101235,46895,1017.66,99.478
Hillsborough County,1459762,64164,1021.889,1428.494
Holmes County,19653,41809,478.857,41.041
Indian River County,159788,61594,502.81,317.79
Jackson County,47319,43416,918.186,51.535
Jefferson County,14510,53080,598.079,24.261
Lafayette County,8226,56458,543.345,15.14
Lake County,383956,60013,951.552,403.505
Lee County,760822,63235,781.009,974.153
Leon County,292198,57359,668.43,437.141
Levy County,42915,43029,1118.223,38.378
Liberty County,7974,42438,835.563,9.543
Madison County,17968,39503,696.529,25.796
Manatee County,399710,64964,742.762,538.14
Marion County,375908,50808,1588.422,236.655
Martin County,158431,69769,543.822,291.329
Miami-Dade County,2701767,57815,1899.904,1422.054
Monroe County,82874,73153,983.042,84.304
Nassau County,90352,77504,648.681,139.286
Okaloosa County,211668,67390,930.194,227.553
Okeechobee County,39644,47020,769.164,51.542
Orange County,1429908,65784,902.024,1585.222
Osceola County,388656,58513,1327.546,292.763
Palm Beach County,1492191,68874,1964.299,759.656
Pasco County,561891,58084,746.619,752.581
Pinellas County,959107,60451,273.705,3504.163
Polk County,725046,55099,1797.764,403.304
Putnam County,73321,39975,728.364,100.665
Santa Rosa County,188000,77260,1012.401,185.697
Sarasota County,434006,69490,556.002,780.584
Seminole County,470856,73002,309.379,1521.939
St. Johns County,273425,88794,600.644,455.22
St. Lucie County,329226,59807,571.66,575.912
Sumter County,129752,63323,557.133,232.892
Suwannee County,43474,47218,688.586,63.135
Taylor County,21796,43563,1043.335,20.891
Union County,16147,55463,243.555,66.297
Volusia County,553543,56786,1101.312,502.621
Wakulla County,33764,72941,606.418,55.678
Walton County,75305,68111,1038.293,72.528
Washington County,25318,41806,584.677,43.303
