GymChain,ClubID,GymName,Address,CountyName,LocationScope,PlanName,PlanTerm,PriceType,DuesAmount,DuesFrequency,MonthlyEquivalent,InitiationFee,AnnualFee,EffectiveMonthlyCost,PromotionalDuesAmount,PromotionStatus,OfferExpiration,Status,SourceType,SourceURL,LocationURL,RetrievedAtUTC,Notes
LA Fitness,399,Altamonte Springs @ Montgomery,"1074 Montgomery Road, Altamonte Springs, FL 32714",Seminole County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=GpqxoJhivIhrWqTphssntA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,399,Altamonte Springs @ Montgomery,"1074 Montgomery Road, Altamonte Springs, FL 32714",Seminole County,Official Florida club,Classic,,Standard advertised dues,79.0,Monthly,79.0,199.0,69.0,101.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=GpqxoJhivIhrWqTphssntA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
LA Fitness,399,Altamonte Springs @ Montgomery,"1074 Montgomery Road, Altamonte Springs, FL 32714",Seminole County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=GpqxoJhivIhrWqTphssntA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment; Nationwide Access
LA Fitness,692,Atlantic Beach,"985 Atlantic Blvd, Atlantic Beach, FL 32233",Duval County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=ytoK1vSYgUldlp3sMdQX3A%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,692,Atlantic Beach,"985 Atlantic Blvd, Atlantic Beach, FL 32233",Duval County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=ytoK1vSYgUldlp3sMdQX3A%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,692,Atlantic Beach,"985 Atlantic Blvd, Atlantic Beach, FL 32233",Duval County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=ytoK1vSYgUldlp3sMdQX3A%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,150,Boca Raton West - State Rd,"20443 State Rd 7 (Bay BB1), Boca Raton, FL 33498",Palm Beach County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=vjxjKcUTm3osOFzPgC9DHA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,150,Boca Raton West - State Rd,"20443 State Rd 7 (Bay BB1), Boca Raton, FL 33498",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,79.0,Monthly,79.0,199.0,69.0,101.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=vjxjKcUTm3osOFzPgC9DHA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
LA Fitness,150,Boca Raton West - State Rd,"20443 State Rd 7 (Bay BB1), Boca Raton, FL 33498",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=vjxjKcUTm3osOFzPgC9DHA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment; Nationwide Access
LA Fitness,356,Boca Raton East-Technology Way,"4950 Technology Way, Boca Raton, FL 33431",Palm Beach County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTcTaarSHd6pUup3KTOIHw%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,356,Boca Raton East-Technology Way,"4950 Technology Way, Boca Raton, FL 33431",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTcTaarSHd6pUup3KTOIHw%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,356,Boca Raton East-Technology Way,"4950 Technology Way, Boca Raton, FL 33431",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTcTaarSHd6pUup3KTOIHw%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,255,Boynton Beach,"2290 N. Congress Avenue, Boynton Beach, FL 33426",Palm Beach County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=OCAxOhjGgrrjsxR0xY3h5w%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,255,Boynton Beach,"2290 N. Congress Avenue, Boynton Beach, FL 33426",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=OCAxOhjGgrrjsxR0xY3h5w%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,255,Boynton Beach,"2290 N. Congress Avenue, Boynton Beach, FL 33426",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=OCAxOhjGgrrjsxR0xY3h5w%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1295,W Boynton Beach Blvd (Signature),"6683 Boynton Beach Blvd, Boynton Beach, FL 33437",Palm Beach County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTmMj2k%2fKk%2fYRJgrq0kF2Q%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,1295,W Boynton Beach Blvd (Signature),"6683 Boynton Beach Blvd, Boynton Beach, FL 33437",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,79.0,Monthly,79.0,199.0,69.0,101.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTmMj2k%2fKk%2fYRJgrq0kF2Q%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
LA Fitness,1295,W Boynton Beach Blvd (Signature),"6683 Boynton Beach Blvd, Boynton Beach, FL 33437",Palm Beach County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTmMj2k%2fKk%2fYRJgrq0kF2Q%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment; Nationwide Access
LA Fitness,372,Brandon,"2890 Providence Lakes Blvd, Brandon, FL 33511",Hillsborough County,Official Florida club,Basic,,Standard advertised dues,79.0,Monthly,79.0,199.0,69.0,101.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qD4SgFG7dwHib%2fEJ1vo8Zg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
LA Fitness,372,Brandon,"2890 Providence Lakes Blvd, Brandon, FL 33511",Hillsborough County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qD4SgFG7dwHib%2fEJ1vo8Zg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,372,Brandon,"2890 Providence Lakes Blvd, Brandon, FL 33511",Hillsborough County,Official Florida club,Classic,,Standard advertised dues,0.0,Monthly,0.0,0.0,0.0,0.0,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qD4SgFG7dwHib%2fEJ1vo8Zg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment
LA Fitness,409,Cape Coral,"2301 Del Prado Blvd., Cape Coral, FL 33990",Lee County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=X%2f23iyyASmk96w3tAsTNfA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,409,Cape Coral,"2301 Del Prado Blvd., Cape Coral, FL 33990",Lee County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=X%2f23iyyASmk96w3tAsTNfA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,409,Cape Coral,"2301 Del Prado Blvd., Cape Coral, FL 33990",Lee County,Official Florida club,Classic,,Standard advertised dues,0.0,Monthly,0.0,0.0,0.0,0.0,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=X%2f23iyyASmk96w3tAsTNfA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access:
LA Fitness,1258,Clearwater - Gulf TO Bay Blvd,"2134 Gulf TO Bay Blvd, Clearwater, FL 33765",Pinellas County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qvmwjGr%2bwY%2bWpw9w8mV%2fAg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1258,Clearwater - Gulf TO Bay Blvd,"2134 Gulf TO Bay Blvd, Clearwater, FL 33765",Pinellas County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qvmwjGr%2bwY%2bWpw9w8mV%2fAg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1258,Clearwater - Gulf TO Bay Blvd,"2134 Gulf TO Bay Blvd, Clearwater, FL 33765",Pinellas County,Official Florida club,Classic,,Standard advertised dues,0.0,Monthly,0.0,0.0,0.0,0.0,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qvmwjGr%2bwY%2bWpw9w8mV%2fAg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access:
LA Fitness,1105,Largo E Bay Drive,"5320 East Bay Drive, Clearwater, FL 33764",Pinellas County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=sOIT9ixt2XVBy9xB5Ujuig%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,1105,Largo E Bay Drive,"5320 East Bay Drive, Clearwater, FL 33764",Pinellas County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=sOIT9ixt2XVBy9xB5Ujuig%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
