ClubID,OfficialClubName,OfficialAddress,ZipCode,CountyName,CountyMatchMethod,BaseMonthlyDues,BasicMonthlyDues,BasicInitiationFee,BasicAnnualFee,BasicEffectiveMonthlyCost,MonthlyDuesOptions,InitiationFeeOptions,AnnualFeeOptions,Plans,Status,SourceURL,RetrievedAtUTC,Error
399,Altamonte Springs @ Montgomery,"1074 Montgomery Road, Altamonte Springs, FL 32714",32714,Seminole County,ZIP-only match,29.99,29.99,0.0,69.0,35.74,"[29.99, 79.0]","[0.0, 199.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment; Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=GpqxoJhivIhrWqTphssntA%3d%3d,2026-09-01T01:55:20.031707+00:00,
692,Atlantic Beach,"985 Atlantic Blvd, Atlantic Beach, FL 32233",32233,Duval County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=ytoK1vSYgUldlp3sMdQX3A%3d%3d,2026-09-01T01:55:20.031707+00:00,
150,Boca Raton West - State Rd,"20443 State Rd 7 (Bay BB1), Boca Raton, FL 33498",20443,Palm Beach County,ZIP-only match,29.99,29.99,0.0,69.0,35.74,"[29.99, 79.0]","[0.0, 199.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment; Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=vjxjKcUTm3osOFzPgC9DHA%3d%3d,2026-09-01T01:55:20.031707+00:00,
356,Boca Raton East-Technology Way,"4950 Technology Way, Boca Raton, FL 33431",33431,Palm Beach County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTcTaarSHd6pUup3KTOIHw%3d%3d,2026-09-01T01:55:20.031707+00:00,
255,Boynton Beach,"2290 N. Congress Avenue, Boynton Beach, FL 33426",33426,Palm Beach County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=OCAxOhjGgrrjsxR0xY3h5w%3d%3d,2026-09-01T01:55:20.031707+00:00,
1295,W Boynton Beach Blvd (Signature),"6683 Boynton Beach Blvd, Boynton Beach, FL 33437",33437,Palm Beach County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 79.0]","[0.0, 199.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment; Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=LTmMj2k%2fKk%2fYRJgrq0kF2Q%3d%3d,2026-09-01T01:55:20.031707+00:00,
372,Brandon,"2890 Providence Lakes Blvd, Brandon, FL 33511",33511,Hillsborough County,Google location address match,29.99,79.0,199.0,69.0,101.33333333333333,"[79.0, 29.99, 0.0]","[199.0, 99.0, 0.0]","[69.0, 0.0]","[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment"", ""monthly_dues"": 0.0, ""initiation_fee"": 0.0, ""annual_fee"": 0.0, ""effective_monthly_cost"": 0.0}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qD4SgFG7dwHib%2fEJ1vo8Zg%3d%3d,2026-09-01T01:55:20.031707+00:00,
409,Cape Coral,"2301 Del Prado Blvd., Cape Coral, FL 33990",33990,Lee County,ZIP-only match,29.99,29.99,99.0,69.0,43.99,"[29.99, 39.99, 0.0]","[99.0, 0.0]","[69.0, 0.0]","[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": """", ""monthly_dues"": 0.0, ""initiation_fee"": 0.0, ""annual_fee"": 0.0, ""effective_monthly_cost"": 0.0}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=X%2f23iyyASmk96w3tAsTNfA%3d%3d,2026-09-01T01:55:20.031707+00:00,
1258,Clearwater - Gulf TO Bay Blvd,"2134 Gulf TO Bay Blvd, Clearwater, FL 33765",33765,Pinellas County,Google location address match,29.99,29.99,99.0,69.0,43.99,"[29.99, 39.99, 0.0]","[99.0, 0.0]","[69.0, 0.0]","[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": """", ""monthly_dues"": 0.0, ""initiation_fee"": 0.0, ""annual_fee"": 0.0, ""effective_monthly_cost"": 0.0}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=qvmwjGr%2bwY%2bWpw9w8mV%2fAg%3d%3d,2026-09-01T01:55:20.031707+00:00,
1105,Largo E Bay Drive,"5320 East Bay Drive, Clearwater, FL 33764",33764,Pinellas County,ZIP-only match,29.99,29.99,99.0,69.0,43.99,"[29.99, 39.99, 0.0]","[99.0, 0.0]","[69.0, 0.0]","[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": """", ""monthly_dues"": 0.0, ""initiation_fee"": 0.0, ""annual_fee"": 0.0, ""effective_monthly_cost"": 0.0}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=sOIT9ixt2XVBy9xB5Ujuig%3d%3d,2026-09-01T01:55:20.031707+00:00,
