CountyName,MembershipPrice,PriceObservationCount,PriceObservationChains,PriceEstimateSourceCounties,PriceEstimateSourceDistancesMiles,PriceStatus,EstimationMethod
Alachua County,69.0,2,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Baker County,59.62,0,,Clay County; Nassau County; Duval County,35.0; 37.4; 39.0,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Bay County,69.0,1,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Bradford County,59.47,0,,Clay County; Alachua County; Duval County,18.2; 22.3; 40.7,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Brevard County,46.83,3,LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Broward County,40.93,40,LA Fitness; Orangetheory Fitness; YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Calhoun County,61.78,0,,Bay County; Leon County; Okaloosa County,25.6; 55.0; 84.4,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Charlotte County,14.08,1,YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Citrus County,72.28,0,,Sumter County; Pasco County; Marion County,33.2; 37.7; 41.3,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Clay County,52.37,2,LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Collier County,61.5,2,LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Columbia County,63.48,0,,Alachua County; Clay County; Nassau County,40.9; 48.2; 57.6,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
DeSoto County,33.8,0,,Charlotte County; Sarasota County; Manatee County,23.1; 38.0; 41.1,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Dixie County,64.61,0,,Alachua County; Marion County; Clay County,53.5; 75.8; 87.5,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Duval County,57.91,9,LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Escambia County,69.0,1,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Flagler County,63.32,0,,St. Johns County; Volusia County; Marion County,29.5; 29.8; 49.3,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Franklin County,58.68,0,,Bay County; Leon County; Okaloosa County,54.4; 62.8; 124.3,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
