Rank,CountyName,MembershipPrice,CountyPopulation,LAFitnessLocations,CompetitorLocations,MedianHouseholdIncome,PopulationDensity,AvgGymRating,PredictedMembershipPrice,CompetitionPer100k,LAFitnessPer100k,DemandComponent,PurchasingPowerComponent,LowCompetitionComponent,PricingComponent,WhitespaceComponent,MarketPotentialScore
1,St. Johns County,69.0,273425,0,4,88794,455.22,4.65,58.67654118474867,1.4629240193837432,0.0,0.6067823165173796,1.0,0.737141812197129,1.0,1.0,82.94630573946397
2,Santa Rosa County,69.0,188000,0,1,77260,185.697,4.5,58.67654118474867,0.5319148936170213,0.0,0.5424799593520458,0.7725318502741293,0.9044255319148936,1.0,1.0,78.67620567571248
3,Collier County,61.5,375752,1,5,75543,188.163,3.95,57.505998944544615,1.3306649066405503,0.26613298132811003,0.6613543154357301,0.7386699798840374,0.760906129574826,0.9374999999999999,0.910142860184377,76.68943015351313
4,Monroe County,48.28,82874,0,0,73153,84.304,4.4,58.67654118474867,0.0,0.0,0.4018680076377363,0.6915355184790755,1.0,1.0,1.0,74.34442819110897
5,Lee County,65.0,760822,2,10,63235,974.153,4.308,56.335456704340565,1.3143678810549644,0.2628735762109929,0.7824575502648201,0.49593736441446773,0.763834379132044,0.8750000000000001,0.9112433657281204,73.38628185822839
6,Nassau County,69.0,90352,0,1,77504,139.286,4.8,58.67654118474867,1.106782362316274,0.0,0.41669815039824026,0.7773439040744685,0.8011333451390119,1.0,1.0,72.95720901658915
7,Sarasota County,46.03,434006,1,8,69490,780.584,4.389,57.505998944544615,1.8432924890439304,0.2304115611304913,0.6860959447411743,0.6192955468780815,0.6687972055685867,0.9374999999999999,0.9222038404999009,72.725749530558
8,Pasco County,79.0,561891,0,7,58084,752.581,4.557,58.67654118474867,1.2457932232408067,0.0,0.7304278728545481,0.394351753244192,0.7761558736480919,1.0,1.0,72.29474748970308
9,Hillsborough County,60.29,1459762,7,18,64164,1428.494,4.356,50.48274550332029,1.2330777208887476,0.47953022479006857,0.8943184050150863,0.5142586676133002,0.7784405951107098,0.5624999999999998,0.8380914149018812,72.07324489201811
10,Polk County,43.99,725046,1,7,55099,403.304,4.4,57.505998944544615,0.9654559848616501,0.1379222835516643,0.7741895042695996,0.3354829803179111,0.8265268686400588,0.9374999999999999,0.953431920181616,71.7401162106531
11,Manatee County,55.66,399710,2,4,64964,538.14,4.3,56.335456704340565,1.0007255260063548,0.5003627630031774,0.6719647977767388,0.5300358931881829,0.8201896374871782,0.8750000000000001,0.8310575166996073,71.24920917974636
12,Lake County,59.0,383956,0,5,60013,403.505,4.54,58.67654118474867,1.3022325474793988,0.0,0.6650619990089996,0.4323945884116278,0.7660148558689016,1.0,1.0,71.08202179793872
13,Clay County,52.37,218245,1,4,74059,360.968,4.32,57.505998944544615,1.8328025842516438,0.45820064606291094,0.5680879631428501,0.7094032264426301,0.6706820316616646,0.9374999999999999,0.8452931338633187,70.70679152721773
14,Brevard County,46.83,606612,2,11,63632,597.664,4.415,56.335456704340565,1.8133502139753255,0.3297000389046046,0.7435740984534984,0.5037668126060032,0.6741772335529135,0.8750000000000001,0.8886800788642493,70.39673872845579
15,Duval County,57.91,995567,3,19,59541,1305.412,4.418,55.16491446413651,1.9084602040847076,0.3013358216975854,0.8286200445815171,0.42308602532244705,0.6570878705300598,0.8125,0.8982569731620272,69.74757911272815
16,Okaloosa County,69.0,211668,0,4,67390,227.553,4.3,58.67654118474867,1.8897518755787366,0.0,0.5628352086920845,0.5778803297440145,0.6604493829960126,1.0,1.0,69.54105216428316
17,Palm Beach County,44.48,1492191,10,26,68874,759.656,4.328,46.971118782708125,1.7424042900674241,0.6701554961797785,0.8980902103209327,0.6071470831854219,0.6869247971606852,0.3749999999999997,0.7737286982698596,69.22216631517581
18,Sumter County,69.0,129752,0,1,63323,232.892,4.8,58.67654118474867,0.7707010296565755,0.0,0.47882461871939663,0.4976728592277048,0.8615204389913065,1.0,1.0,69.03696882210065
19,Osceola County,43.49,388656,2,3,58513,292.763,4.22,56.335456704340565,0.7718908237618871,0.5145938825079247,0.6671505669781393,0.40281229045872285,0.8613066567864641,0.8750000000000001,0.8262525215100243,68.69848262164177
20,Indian River County,69.0,159788,0,2,61594,317.79,4.55,58.67654118474867,1.2516584474428618,0.0,0.5145686601271428,0.46357433045398966,0.7751020101634666,1.0,1.0,67.52845826843335
21,St. Lucie County,47.37,329226,1,5,59807,575.912,4.4,57.505998944544615,1.5187135888417074,0.3037427177683415,0.6386630556667198,0.42833195282609554,0.727117542356922,0.9374999999999999,0.8974443087726972,67.44748442551939
22,Seminole County,45.2,470856,4,12,73002,1521.939,4.4,53.99437222393245,2.5485498751210565,0.8495166250403521,0.7000854518986245,0.6885575671518164,0.5420765584382485,0.7499999999999998,0.7131692067213755,67.43972597173287
23,Pinellas County,56.86,959107,7,13,60451,3504.163,4.38,50.48274550332029,1.3554274966192512,0.7298455751026737,0.8222153233754498,0.44103261941387606,0.7564567874074529,0.5624999999999998,0.7535749400223333,66.79466033498278
24,Escambia County,69.0,321905,1,4,56605,489.967,4.4,57.505998944544615,1.2426026312110716,0.3106506578027679,0.634802703074037,0.3651836074626277,0.7767291592239947,0.9374999999999999,0.8951119118994735,66.72187358226142
25,Orange County,44.13,1429908,11,23,65784,1585.222,4.394,45.800576542504075,1.608495091991932,0.769280261387446,0.8907712725888004,0.5462075494024375,0.7109856018708897,0.31249999999999994,0.7402602125451427,66.68814107559417
26,Walton County,69.0,75305,0,1,68111,72.528,4.1,58.67654118474867,1.3279330721731624,0.0,0.3854271696560613,0.5920995542933775,0.7613969855919263,1.0,1.0,66.59324365885479
27,Volusia County,54.17,553543,2,10,56786,502.621,4.375,56.335456704340565,1.8065443876988778,0.3613088775397756,0.7278583418425628,0.3687532047489449,0.6754001044182656,0.8750000000000001,0.8780076705874702,66.46765916824052
28,Marion County,69.0,375908,0,5,50808,236.655,4.5,58.67654118474867,1.330112687146855,0.0,0.6614255695557405,0.25085788664063424,0.7610053523734531,1.0,1.0,66.33432130015714
