CountyName,StudentizedResidual,CooksDistance,Leverage,Flag
Alachua County,1.7229723226696525,0.02483873859585344,0.033362586297782576,No flag
Baker County,-0.6634451819347009,0.004147734951836413,0.036012698578489294,No flag
Bay County,1.76088213482113,0.0165442000299823,0.021578260463562253,No flag
Bradford County,-0.16871303975260138,0.00019095291136710717,0.025740333910956256,No flag
Brevard County,-1.0174411058499708,0.010028039133995432,0.03732333052974031,No flag
Broward County,-0.3383110736407368,0.00828145659347558,0.22200518683776216,No flag
Calhoun County,0.2217304145281599,0.0007016191210559677,0.05322933617299121,No flag
Charlotte County,-4.749240530625723,0.08640237335445627,0.0201510043025815,Review
Citrus County,-0.502789324623025,0.0015606777244623283,0.023820406681673872,No flag
Clay County,-0.15928595163841075,0.0004157008161330128,0.060612149626320846,No flag
Collier County,0.3509262554093344,0.0020096282497107797,0.06047360954279074,No flag
Columbia County,-0.2459124633530733,0.00038442087538092124,0.02443633235853232,No flag
DeSoto County,0.10482873087133807,0.0001327873239073644,0.04541493511887561,No flag
Dixie County,0.009136837873810463,7.574804332697244e-07,0.03448654045035994,No flag
Duval County,-0.30231766834007007,0.0034093865271738917,0.1282074342557199,No flag
Escambia County,1.9521051546027415,0.015285241960943264,0.016484028859007967,No flag
Flagler County,-0.8459281059229452,0.004467292416385364,0.02425540935336802,No flag
Franklin County,-0.2518999990018052,0.00041185524534493077,0.024938798515149237,No flag
Gadsden County,-0.011049868603215503,1.1787830019295684e-06,0.03661276364531012,No flag
Gilchrist County,-0.21135311056784137,0.0002897137069524578,0.024912609322701475,No flag
Glades County,0.22624087235174276,0.0007325427545266795,0.053375051965951534,No flag
Gulf County,-0.2934093311936708,0.0005529122653981227,0.024692423915468976,No flag
Hamilton County,0.1791712206507187,0.00041747621255036225,0.048723442607474673,No flag
Hardee County,0.08060497999617618,7.116508479330782e-05,0.04133945217357847,No flag
Hendry County,0.12588013297344663,0.00020745077207613304,0.049022239056524614,No flag
Hernando County,-0.7642715305696346,0.0032068597932089337,0.021349887344134098,No flag
Highlands County,-0.3032871764292808,0.000607118121852681,0.025360856840185422,No flag
Hillsborough County,0.39058219261187715,0.005032294217900658,0.11517939631744029,No flag
Holmes County,0.08242043775535986,7.291964829506746e-05,0.04054685870353479,No flag
Indian River County,1.7673594724103578,0.017457178066892353,0.02258707061574311,No flag
Jackson County,-0.045120264085158554,1.8442765853611398e-05,0.034434204263864274,No flag
Jefferson County,-0.2704501598286891,0.00046868154168983853,0.02463174397872182,No flag
Lafayette County,-0.3638098106872209,0.0009213207572565101,0.026726028502631637,No flag
Lake County,0.11087972844222795,0.0001871466308685452,0.056545236988595315,No flag
Lee County,0.5486514403813466,0.006874095817692067,0.08284737198945431,No flag
Leon County,-1.4481731615750324,0.018010415543074976,0.03376930415944445,No flag
Levy County,-0.02059248211508371,3.984567498398653e-06,0.035670036699034936,No flag
Liberty County,0.09349532845718234,9.206724429996911e-05,0.03981551727559205,No flag
Madison County,0.16312454021028064,0.0003399191067117287,0.04789805864895666,No flag
Manatee County,0.4524080241177981,0.0012905620819645776,0.0242984052438546,No flag
Marion County,1.5539083614470883,0.03931475395079565,0.06243257277062481,No flag
Martin County,1.4256351886584173,0.027615222001006415,0.05234799768129442,No flag
Miami-Dade County,-0.7125904708213502,0.08150794211035739,0.3891450758881615,Review
Monroe County,-1.1392667827384828,0.021229440140412364,0.061680429223966576,No flag
Nassau County,1.465214326438537,0.04773290383077477,0.08303533467389373,No flag
Okaloosa County,1.4301300479324903,0.019092623285312818,0.03657131927752445,No flag
Okeechobee County,-0.14144226574962818,0.00014262515474461495,0.027306435176175203,No flag
Orange County,0.5380322687934231,0.02018744675916741,0.21617988835893054,No flag
Osceola County,-0.6047225977087831,0.001567409792652945,0.0166888455377348,No flag
Palm Beach County,-0.2130217056572757,0.0018332087754908979,0.1372951865711103,No flag
Pasco County,1.9913409031499112,0.1417861108440593,0.13024871214988493,Review
Pinellas County,1.5524924273795395,0.05558611011726402,0.08618648874216386,No flag
Polk County,-1.975841964351955,0.15426004189582493,0.14188189954688118,Review
Putnam County,-0.00321252114260818,1.212031058324504e-07,0.04418810664900259,No flag
Santa Rosa County,-1.5947640446630398,0.05027513512942332,0.07493792671331748,No flag
Sarasota County,-1.2944217187953793,0.01941484002976487,0.044749826230775815,No flag
Seminole County,-0.2221150084235158,0.00139369154899236,0.10014721893733261,No flag
St. Johns County,0.5776491549538842,0.015014910355461557,0.15116756691131375,No flag
St. Lucie County,-0.5243148413366931,0.0012700133245349197,0.01793886746661765,No flag
Sumter County,1.7970072913259814,0.020586257361014413,0.025723016170437464,No flag
Suwannee County,-0.15816231681631232,0.00017432405731567397,0.02671035823639619,No flag
Taylor County,0.01914431452412125,3.4510400592298926e-06,0.035741877625397,No flag
Union County,-0.3524640475057107,0.0008061070108689248,0.024955594038007595,No flag
Volusia County,0.14459978029949025,0.00014448104279287833,0.0264895029764192,No flag
Wakulla County,-0.5387238489097363,0.008230017608342119,0.10084247040094019,No flag
Walton County,-0.9369366165300612,0.00973611914216259,0.04240008071357797,No flag
Washington County,0.06712807213403313,4.78632273896771e-05,0.04013705921837678,No flag
