CountyName,GymChain,ReturnedCandidates,AcceptedExactCountyBrandMatches
Alachua County,LA Fitness,36,0
Alachua County,Planet Fitness,2,2
Alachua County,YouFit,1,1
Alachua County,Gold's Gym,4,0
Alachua County,Orangetheory Fitness,2,2
Baker County,LA Fitness,33,0
Baker County,Planet Fitness,13,0
Baker County,YouFit,16,0
Baker County,Gold's Gym,1,0
Baker County,Orangetheory Fitness,10,0
Bay County,LA Fitness,49,0
Bay County,Planet Fitness,2,2
Bay County,YouFit,18,0
Bay County,Gold's Gym,1,1
Bay County,Orangetheory Fitness,2,1
Bradford County,LA Fitness,34,0
Bradford County,Planet Fitness,55,0
Bradford County,YouFit,43,0
Bradford County,Gold's Gym,2,0
Bradford County,Orangetheory Fitness,34,0
Brevard County,LA Fitness,2,2
Brevard County,Planet Fitness,8,8
Brevard County,YouFit,47,1
Brevard County,Gold's Gym,1,1
Brevard County,Orangetheory Fitness,1,1
Broward County,LA Fitness,20,13
Broward County,Planet Fitness,16,15
Broward County,YouFit,22,18
Broward County,Gold's Gym,10,0
Broward County,Orangetheory Fitness,37,12
Calhoun County,LA Fitness,10,0
Calhoun County,Planet Fitness,21,0
Calhoun County,YouFit,23,0
Calhoun County,Gold's Gym,5,0
Calhoun County,Orangetheory Fitness,26,0
Charlotte County,LA Fitness,13,0
Charlotte County,Planet Fitness,2,2
Charlotte County,YouFit,2,1
Charlotte County,Gold's Gym,5,0
Charlotte County,Orangetheory Fitness,28,0
Citrus County,LA Fitness,23,0
Citrus County,Planet Fitness,3,3
Citrus County,YouFit,22,0
Citrus County,Gold's Gym,1,0
Citrus County,Orangetheory Fitness,54,0
Clay County,LA Fitness,2,1
Clay County,Planet Fitness,15,3
Clay County,YouFit,43,0
Clay County,Gold's Gym,2,0
Clay County,Orangetheory Fitness,8,1
Collier County,LA Fitness,3,1
Collier County,Planet Fitness,4,3
Collier County,YouFit,1,1
Collier County,Gold's Gym,1,0
Collier County,Orangetheory Fitness,2,1
Columbia County,LA Fitness,48,0
Columbia County,Planet Fitness,15,1
Columbia County,YouFit,46,0
Columbia County,Gold's Gym,4,0
Columbia County,Orangetheory Fitness,3,0
DeSoto County,LA Fitness,27,0
DeSoto County,Planet Fitness,1,1
DeSoto County,YouFit,8,0
DeSoto County,Gold's Gym,1,0
DeSoto County,Orangetheory Fitness,31,0
Dixie County,LA Fitness,15,0
Dixie County,Planet Fitness,26,0
Dixie County,YouFit,29,0
Dixie County,Gold's Gym,2,0
Dixie County,Orangetheory Fitness,52,0
Duval County,LA Fitness,4,3
Duval County,Planet Fitness,14,13
Duval County,YouFit,5,0
Duval County,Gold's Gym,47,0
Duval County,Orangetheory Fitness,10,6
Escambia County,LA Fitness,38,1
Escambia County,Planet Fitness,3,3
Escambia County,YouFit,24,0
Escambia County,Gold's Gym,28,0
Escambia County,Orangetheory Fitness,1,1
Flagler County,LA Fitness,7,0
Flagler County,Planet Fitness,2,2
Flagler County,YouFit,26,0
Flagler County,Gold's Gym,3,0
Flagler County,Orangetheory Fitness,31,0
Franklin County,LA Fitness,15,0
Franklin County,Planet Fitness,22,0
Franklin County,YouFit,41,0
Franklin County,Gold's Gym,1,0
Franklin County,Orangetheory Fitness,39,0
Gadsden County,LA Fitness,36,0
Gadsden County,Planet Fitness,27,0
Gadsden County,YouFit,2,0
Gadsden County,Gold's Gym,7,0
Gadsden County,Orangetheory Fitness,2,0
Gilchrist County,LA Fitness,1,0
Gilchrist County,Planet Fitness,56,0
Gilchrist County,YouFit,23,0
Gilchrist County,Gold's Gym,1,0
Gilchrist County,Orangetheory Fitness,2,0
Glades County,LA Fitness,28,0
Glades County,Planet Fitness,46,0
Glades County,YouFit,34,0
Glades County,Gold's Gym,1,0
Glades County,Orangetheory Fitness,23,0
Gulf County,LA Fitness,33,0
Gulf County,Planet Fitness,37,0
Gulf County,YouFit,49,0
Gulf County,Gold's Gym,3,0
Gulf County,Orangetheory Fitness,1,0
Hamilton County,LA Fitness,55,0
Hamilton County,Planet Fitness,51,0
Hamilton County,YouFit,44,0
Hamilton County,Gold's Gym,4,0
Hamilton County,Orangetheory Fitness,49,0
Hardee County,LA Fitness,8,0
Hardee County,Planet Fitness,10,0
Hardee County,YouFit,17,0
Hardee County,Gold's Gym,1,0
Hardee County,Orangetheory Fitness,35,0
Hendry County,LA Fitness,12,0
